key,species,scientificName,acceptedScientificName,taxonomicStatus,basisOfRecord,eventDate,year,countryCode,stateProvince,locality,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,elevation,recordedBy,recordNumber,institutionCode,collectionCode,catalogNumber,typeStatus,identifiedBy,datasetName,datasetKey,occurrenceID,references,issues,media
1039003983,,Cyrtosperma Griff.,Cyrtosperma Griff.,ACCEPTED,PRESERVED_SPECIMEN,1947-10-02,1947,FM,Caroline Islands,Truk,,,,1.0,Clarence C. Wong,158,YPM,YU,YU.027009,,,,963f12d0-f762-11e1-a439-00145eb45e9a,urn:uuid:ccc23607-aa5b-4582-9b18-3eb2aeb00b76,http://collections.peabody.yale.edu/search/Record/YU.027009,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY,"https://images.collections.yale.edu/iiif/2/ypm:ac1d901b-086d-4a2b-9a7a-54e61f63c1c9/full/!1920,1920/0/default.jpg"
1038939495,,Cyrtosperma Griff.,Cyrtosperma Griff.,ACCEPTED,PRESERVED_SPECIMEN,1948-01-29,1948,FM,Caroline Islands,Yap,,,,,Clarence C. Wong,367,YPM,YU,YU.027008,,,,963f12d0-f762-11e1-a439-00145eb45e9a,urn:uuid:33fc4cdd-8e32-4e0f-8002-313d7a3051af,http://collections.peabody.yale.edu/search/Record/YU.027008,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY,"https://images.collections.yale.edu/iiif/2/ypm:78c6cd27-eedd-45eb-95c9-8b2b40c0b182/full/!1920,1920/0/default.jpg"
1096731762,,Cyrtosperma Griff.,Cyrtosperma Griff.,ACCEPTED,PRESERVED_SPECIMEN,1948-09-26,1948,BR,Minas Gerais,Flora do Brasil. Localidad: Ca [illegible] Municipio: Itauiutaba. Estado MG.,,,,,A. Macedo,,S,VascularPlants,S10-30601,,,,0943f690-fde5-11dd-83f4-b8a03c50a862,S:VascularPlants:S10-30601,,CONTINENT_DERIVED_FROM_COUNTRY;TAXON_MATCH_HIGHERRANK;AMBIGUOUS_COLLECTION,
3947895592,,Cyrtosperma Griff.,Cyrtosperma Griff.,ACCEPTED,PRESERVED_SPECIMEN,1949-12-03,1949,IN,Assam,"marsh, 4 ft. Bamanigaon, near sea level",,,,,Walter N. Koelz,24274,MICH,Angiosperms,1002644,,,,c8d12f8a-7e39-4e2c-92d7-825d590ad15b,21190dff-ee9a-4d8d-bf0e-27df65e2458b,,TAXON_MATCH_HIGHERRANK,https://quod.lib.umich.edu/cgi/i/image/api/image/herb00ic:1002644:MICH-V-1002644A/full/res:0/0/native.jpg;https://quod.lib.umich.edu/cgi/i/image/api/image/herb00ic:1002644:MICH-V-1002644B/full/res:0/0/native.jpg
3947899440,,Cyrtosperma Griff.,Cyrtosperma Griff.,ACCEPTED,PRESERVED_SPECIMEN,1949-12-03,1949,IN,Assam,Bamanigaon,,,,,Walter N. Koelz,24274,MICH,Angiosperms,1489648,,,,c8d12f8a-7e39-4e2c-92d7-825d590ad15b,8df19289-1b1c-4594-ae15-7258cc3d778e,,TAXON_MATCH_HIGHERRANK,https://quod.lib.umich.edu/cgi/i/image/api/image/herb00ic:1489648:MICH-V-1489648/full/res:0/0/native.jpg
1090320969,,Cyrtosperma Griff.,Cyrtosperma Griff.,ACCEPTED,PRESERVED_SPECIMEN,1952-09-22,1952,FJ,Naitasiri Province,"Naitasiri, Adi Cakobau School, Sawani",,,,,"Parham, J.W.",Collector Number: 3413,BPBM,BISH,34103,,D.H.Nicolson,Herbarium Pacificum World Specimens,b929f23d-290f-4e85-8f17-764c55b3b284,d7ab7bb0-87d5-4d08-aa6a-b821dffb9c6b,,CONTINENT_DERIVED_FROM_COUNTRY;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY,
5956175828,,Cyrtosperma Griff.,Cyrtosperma Griff.,ACCEPTED,PRESERVED_SPECIMEN,1952-09-22,1952,FJ,Naitasiri Province,"Naitasiri, Adi Cakobau School, Sawani",,,,,"Parham, J.W.",3413,BISH,,34103,NotAType,"Nicolson, D.H.",,cfb43618-1423-4031-b3ff-fbd2c264f48b,34103,https://pacific.symbiota.org/portal/collections/individual/index.php?occid=1319989,CONTINENT_DERIVED_FROM_COUNTRY;TAXON_ID_NOT_FOUND;INSTITUTION_MATCH_NONE,https://bishsheet.s3.us-east-1.amazonaws.com/34103.webp
2883330531,,Cyrtosperma Griff.,Cyrtosperma Griff.,ACCEPTED,PRESERVED_SPECIMEN,1958-08-20,1958,ID,,,-2.650111,140.658222,5000.0,,J Barran,,AK,AK,AK52414,,,,83ae84cf-88e4-4b5c-80b2-271a15a3e0fc,urn:catalog:AK:AK:AK52414,http://www.aucklandmuseum.com/discover/collections/record/593455,COORDINATE_ROUNDED;COUNTRY_INVALID;CONTINENT_DERIVED_FROM_COORDINATES;MULTIMEDIA_URI_INVALID;AMBIGUOUS_COLLECTION;INSTITUTION_MATCH_FUZZY,
3461060405,,Cyrtosperma Griff.,Cyrtosperma Griff.,ACCEPTED,PRESERVED_SPECIMEN,1960-05-23,1960,PG,Morobe Province,"Near suspension bridge over Busu River, NE of Lae, T.N.G.",-6.64002,147.012963,2000.0,,R. F. Thorne; Ted Henty,27450,RSA,VascularPlants,RSA0321098,,R. F. Thorne,,9781ce05-2379-4a10-ab3b-c91346510df8,dc316295-7c80-4522-a5a2-26f8d16e91aa,https://cch2.org/portal/collections/individual/index.php?occid=5228522,TAXON_ID_NOT_FOUND;IDENTIFIED_DATE_INVALID;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY,https://media01.symbiota.org/media/cch2/RSA_VascularPlants/RSA0321/RSA0321098_lg.jpg
3461078403,,Cyrtosperma Griff.,Cyrtosperma Griff.,ACCEPTED,PRESERVED_SPECIMEN,1960-05-23,1960,PG,Morobe Province,"Near suspension brudge over Busu River, NE of Lae, T.N.G.",,,,,R. F. Thorne; Ted Henty,27451,RSA,VascularPlants,RSA0321099,,R. F. Thorne,,9781ce05-2379-4a10-ab3b-c91346510df8,6e4f0be4-9234-429b-978f-11a20d112522,https://cch2.org/portal/collections/individual/index.php?occid=5228521,TAXON_ID_NOT_FOUND;IDENTIFIED_DATE_INVALID;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY,https://media01.symbiota.org/media/cch2/RSA_VascularPlants/RSA0321/RSA0321099_lg.jpg
