title,url,repository,cited_by_count,cited_by_taxa
Gardens’ Bulletin Singapore 50 P.277 (1998),https://www.biodiversitylibrary.org/page/43660582,biodiversitylibrary.org,1,ALOCASIA PRINCIPICULUS
Gardens’ Bulletin Singapore 50 P.279 (1998),https://www.biodiversitylibrary.org/page/43660584,biodiversitylibrary.org,1,ALOCASIA REVERSA
Gardens’ Bulletin Singapore 50: P.249 (1998),https://www.biodiversitylibrary.org/page/43660554,biodiversitylibrary.org,1,ALOCASIA ROBUSTA
Gardens’ Bulletin Singapore 50: P.260 (1998),https://www.biodiversitylibrary.org/page/43660565,biodiversitylibrary.org,1,ALOCASIA MELO
Gardens’ Bulletin Singapore 50: P.273 (1998),https://www.biodiversitylibrary.org/page/43660578,biodiversitylibrary.org,2,ALOCASIA PANGERAN; ALOCASIA PELTATA
Gardens’ Bulletin Singapore 50: P.316 (1998),https://www.biodiversitylibrary.org/page/43660621,biodiversitylibrary.org,1,ALOCASIA PERAKENSIS
Gardens’ Bulletin Singapore 51 P.27 (1999),https://www.biodiversitylibrary.org/page/43578417#page/39/mode/1up,biodiversitylibrary.org,1,ALOCASIA RAMOSII
Gardens’ Bulletin Singapore 51: P.24 (1999),https://www.biodiversitylibrary.org/page/43578414,biodiversitylibrary.org,1,ALOCASIA MICHOLITZIANA
Gardens’ Bulletin Singapore 51: P.26 (1999),https://www.biodiversitylibrary.org/page/43578415,biodiversitylibrary.org,1,ALOCASIA PORTEI
Gardens’ Bulletin Singapore 62 (1): 121-126 (2010),https://www.biodiversitylibrary.org/page/43634241#page/125/mode/1up,biodiversitylibrary.org,1,ALOCASIA JIEWHOEI
"The Gardens’ Bulletin, Singapore v.51",https://www.biodiversitylibrary.org/page/43578404,biodiversitylibrary.org,1,ALOCASIA CULIONENSIS
"The Gardens’ Bulletin, Singapore | Page 325",https://www.biodiversitylibrary.org/page/43660630,biodiversitylibrary.org,1,ALOCASIA CUPREA
The Garden’s Bulletin Singapore V.50 P.281 (1998),https://www.biodiversitylibrary.org/page/43660586,biodiversitylibrary.org,1,ALOCASIA VENUSTA
The Garden’s Bulletin Singapore V.50 P.314 (1998),https://www.biodiversitylibrary.org/page/43660619,biodiversitylibrary.org,1,ALOCASIA SUHIRMANIANA
The Garden’s Bulletin Singapore V.51 P.30 (1999),https://www.biodiversitylibrary.org/page/43578420,biodiversitylibrary.org,1,ALOCASIA SCALPRUM
The Garden’s Bulletin Singapore V.51 P.33 (1999),"Notes: Alocasia sinuata is botanically poorly known, though it has been in cultivation for over a century. Two forms exist in cultivation today under the names Alocasia Quilted Dreams and Alocasia Bullata (the latter used as a pseudobinomial but it is botanically invalid). I have seen only one collection from the wild, unfortunately without habitat notes. The type was at first said to have originated in the 'Malay Archipelago' (N.E. Brown, loc. cit.). However, the label has subsequently been altered in Brown's hand to indicate that the plant originated in the Philippines. Observations on the species' alleged large size made by W. Bull which Brown (loc. cit.) quoted ( k a full grown plant would be about 4 or 5 feet in diameter'), notwithstanding the much smaller dimensions of the type plant and matching material, are evidently incorrect (other material examined is somewhat smaller than the type). The collection cited below originating in Palawan is included with some doubt as the sterile interstice is much attenuated and the secondary venation seems not to form subsidiary veins. In other respects, however, the specimen matches A. sinuata. Other specimens seen: Cult. University of Florida Agricultural Research Station ex Leyte Island, Croat 56900 (MO); Cult. Missouri Botanical Garden ex cult. Manila Memorial Park, Croat 57106 (MO); Cult. Missouri Botanical Garden ex Palawan, Croat 57188 (MO); Mindanao, Surigao Prov., without specific locality, Ramos & Pascasio BS 34353 (K, US).",,1,ALOCASIA SINUATA
The Gardner’s Chronicle ser.3:v.13 (1893) P.613,https://www.biodiversitylibrary.org/page/25896725,biodiversitylibrary.org,1,ALOCASIA LONGILOBA
Die Gartenwelt J.15 (1911),https://www.biodiversitylibrary.org/page/6617453,biodiversitylibrary.org,1,ALOCASIA CUPREA
Die Gartenwelt J.15 (1911),https://www.biodiversitylibrary.org/page/6617452,biodiversitylibrary.org,1,ALOCASIA ZEBRINA
The genus Alocasia (Araceae) in. Australasia. A. Hay | Blumea 35: 537 (1991),https://repository.naturalis.nl/document/566153,repository.naturalis.nl,5,ALOCASIA AEQUILOBA; ALOCASIA BOA; ALOCASIA FLABELLIFERA; ALOCASIA MONTICOLA; ALOCASIA NICOLSONII
Global history of the ancient monocot family Araceae,https://nph.onlinelibrary.wiley.com/doi/10.1111/j.1469-8137.2012.04220.x,nph.onlinelibrary.wiley.com,1,ALOCASIA ODORA ‘CALIFORNIA’
"H.G.A.Engler, Das Pflanzenreich, Heft 70-71:91 (1919-1920)",https://www.biodiversitylibrary.org/page/16814974,biodiversitylibrary.org,1,ALOCASIA HAINANICA
"H.G.A.Engler, Das Pflanzenreich, Heft 71 IV, 23E: 93 (1920)",https://bibdigital.rjb.csic.es/viewer/10006/?offset=#page=87&viewer=picture&o=bookmark&n=0&q=,bibdigital.rjb.csic.es,4,ALOCASIA AEQUILOBA; ALOCASIA BECCARII; ALOCASIA GRATA; ALOCASIA ODORA ‘CALIFORNIA’
Histoire naturelle des végétaux V.12 (1846) P.47,https://www.biodiversitylibrary.org/page/31474748,biodiversitylibrary.org,1,ALOCASIA INDICA**
Histoire naturelle des végétaux V12 P46 (1946),https://www.biodiversitylibrary.org/page/31474747,biodiversitylibrary.org,1,ALOCASIA ODORA
IAS Archives,http://www.aroid.org/aroidl-archive/showthread.php?id=6180,aroid.org,1,ALOCASIA NEBULA
Icones Plantarum India Orientalis Vol. 3 (1846) Plate 794,https://www.biodiversitylibrary.org/page/48087423,biodiversitylibrary.org,1,ALOCASIA INDICA**
Icones Plantarum Indiae Orientalis v.3. P.792 (1846),https://www.biodiversitylibrary.org/page/2932766,biodiversitylibrary.org,1,ALOCASIA FORNICATA
"L'Illustration horticole : journal spécial des serres et des jardins, ou choix raisonné des plantes les plus intérressantes sous le rapport ornemental, comprenant leur histoire complete, leur description v.33 (1886) Page 97",https://www.biodiversitylibrary.org/page/15249428,biodiversitylibrary.org,1,ALOCASIA DEVANSAYANA
L'Illustration Horticole v.29 (1882) P.11,https://www.biodiversitylibrary.org/page/15849223,biodiversitylibrary.org,1,ALOCASIA LONGILOBA
L’Illustration horticole v.43 P.267 (1896),https://www.biodiversitylibrary.org/page/15949605,biodiversitylibrary.org,1,ALOCASIA SANDERIANA
Illustrations of useful plants of the southern region (1944-1945) P.613,https://archive.org/details/nanpoykenyuyyoy00wataa/page/612/mode/2up,archive.org,1,ALOCASIA CUCULLATA
Illustrations of useful plants of the southern region (1944-1945) P.614,https://archive.org/details/nanpoykenyuyyoy00wataa/page/614/mode/2up,archive.org,1,ALOCASIA MACRORRHIZOS
Index seminum in horto botanico Berolinensi (1854) P.6,https://seedlists.naturalis.nl/content/caladium-cupreum-ckoch-bouch%C3%A9,seedlists.naturalis.nl,1,ALOCASIA CUPREA
Japanese Agriculture in the early 19th century (Seikei Zusetsu),https://digitalcollections.universiteitleiden.nl/view/item/938353,digitalcollections.universiteitleiden.nl,1,ALOCASIA MACRORRHIZOS
Le Jardin (P. 153) (1898),https://www.biodiversitylibrary.org/page/9147378,biodiversitylibrary.org,1,ALOCASIA LAUTERBACHIANA
Jardinerong Sunog,https://jardinerongsunog.blogspot.com/2020/09/distinguishing-alocasia-boyceana.html?q=boyceana,jardinerongsunog.blogspot.com,1,ALOCASIA BOYCEANA
